date,open,high,low,close,volume
2019-06-28,30450,30700,30200,30250,231966
2019-07-01,30600,30750,30150,30300,144385
2019-07-02,30150,30650,30100,30600,183205
2019-07-03,30600,30650,30150,30150,209506
2019-07-04,30400,30950,30150,30950,247390
2019-07-05,30950,31000,30600,30850,242731
2019-07-08,30700,30950,30500,30650,291852
2019-07-09,30350,30800,30350,30650,276172
2019-07-10,30450,30500,29250,29700,714097
2019-07-11,29700,29950,29550,29650,651896
2019-07-12,29650,30150,29650,30000,266636
2019-07-15,29950,30150,29600,29650,205670
2019-07-16,29900,30350,29550,30200,333771
2019-07-17,30500,30500,29750,30250,255063
2019-07-18,29900,30700,29850,30650,295029
2019-07-19,30350,30900,30250,30800,228282
2019-07-22,30550,31150,30500,31050,252952
2019-07-23,30750,31000,30300,30550,322615
2019-07-24,30500,31100,30400,31000,264476
2019-07-25,31000,31000,30400,30850,235491
2019-07-26,30600,30900,30300,30600,267913
